id,name,bic
res_bank_2,Aizkraukles banka AS,AIZKLV22
res_bank_3,"Akciju komercbanka ""Baltikums"" AS",CBBRLV22
res_bank_4,Baltic International Bank AS,BLIBLV22
res_bank_5,Baltic Trust Bank AS,BATRLV2X
res_bank_6,Citadele banka AS,PARXLV22
res_bank_7,DNB Latvija AS,RIKOLV2X
res_bank_8,HVB Bank Latvia AS,VBRILV2X
res_bank_9,Lateko Banka AS,LATBLV22
res_bank_10,Latvijas Banka,LACBLV2X
res_bank_11,Latvijas Biznesa banka AS,MOSBLV2X
res_bank_12,Latvijas Hipotēku un zemes banka VAS,LHZBLV22
res_bank_13,Latvijas Krājbanka AS,UBALLV2X
res_bank_14,Latvijas tirdzniecības banka AS,LATCLV22
res_bank_15,Nordea Bank Finland Plc Latvijas filiāle,NDEALV2X
res_bank_16,Ogres komercbanka AS,OKBALV22
res_bank_17,Paritate Banka AS,PRTTLV22
res_bank_18,Rietumu Banka AS,RTMBLV2X
res_bank_19,Sampo banka AS,MARALV22
res_bank_20,SEB Latvijas Unibanka AS,UNLALV2X
res_bank_21,SMP Banka AS,MULTLV2X
res_bank_22,Swedbank AS,HABALV22
res_bank_23,Trasta komercbanka AS,KBRBLV2X
res_bank_24,VEF banka AS,VEFBLV22
